ensembl_gene_id	description
LOC552559	probable small nuclear ribonucleoprotein Sm D1
LOC413550	neuropeptide CCHamide-2 receptor
LOC726451	cuticle protein 16.8
LOC552249	lysosomal alpha-mannosidase, transcript variant X1
LOC413553	zinc transporter ZIP1-like, transcript variant X1
LOC551936	facilitated trehalose transporter Tret1, transcript variant X2
LOC113218858	uncharacterized LOC113218858
LOC409726	adenosine monophosphate-protein transferase Fic
LOC724145	transmembrane protease serine 9
LOC102656558	uncharacterized LOC102656558
LOC113219042	uncharacterized LOC113219042, transcript variant X2
LOC411875	transmembrane protein 62, transcript variant X1
LOC726864	uncharacterized LOC726864, transcript variant X2
LOC102655788	uncharacterized LOC102655788
LOC413132	uncharacterized LOC413132
LOC102653770	uncharacterized LOC102653770
LOC102655654	proton-coupled amino acid transporter-like protein CG1139
LOC102654368	lactosylceramide 4-alpha-galactosyltransferase
LOC102653693	uncharacterized LOC102653693
LOC410067	uncharacterized LOC410067
LOC724296	DNA mismatch repair protein Mlh1, transcript variant X1
LOC551694	protein phosphatase PTC7 homolog
LOC408314	uncharacterized LOC408314, transcript variant X2
LOC412112	uncharacterized LOC412112, transcript variant X2
LOC102654608	homeobox protein ceh-19
LOC724120	paired mesoderm homeobox protein 2B, transcript variant X1
LOC551088	asparagine--tRNA ligase, cytoplasmic
LOC410200	mRNA turnover protein 4 homolog
LOC107965355	uncharacterized LOC107965355
LOC727578	uncharacterized LOC727578, transcript variant X1
LOC113219009	cell division control protein 31-like
LOC100578512	hydrocephalus-inducing protein
LOC503505	venom protein 2
LOC107964972	uncharacterized LOC107964972
LOC725775	uncharacterized LOC725775, transcript variant X2
LOC100576246	odorant receptor 13a
LOC102654016	uncharacterized LOC102654016
LOC724493	50S ribosomal protein L1, transcript variant X1
LOC551090	conserved oligomeric Golgi complex subunit 8
LOC102655841	uncharacterized LOC102655841
LOC102654417	uncharacterized LOC102654417
LOC100577724	ELMO domain-containing protein 2
LOC410427	serine/threonine-protein kinase 26, transcript variant X1
LOC727247	non-structural maintenance of chromosomes element 1 homolog, transcript variant X2
LOC107964442	uncharacterized LOC107964442
LOC726979	uncharacterized LOC726979, transcript variant X1
LOC551858	kynurenine 3-monooxygenase, transcript variant X2
LOC550992	thioredoxin reductase-like selenoprotein T homolog CG3887
LOC551047	tetratricopeptide repeat protein 1
LOC113219190	uncharacterized LOC113219190
LOC725687	breast cancer type 2 susceptibility protein
LOC102654266	uncharacterized LOC102654266
LOC726861	myosuppressin, transcript variant X2
LOC100576730	uncharacterized LOC100576730
LOC550918	ATP-binding cassette sub-family G member 4, transcript variant X1
LOC107965822	retrovirus-related Pol polyprotein from type-1 retrotransposable element R2
LOC113219027	uncharacterized LOC113219027
LOC410973	mediator of RNA polymerase II transcription subunit 22
LOC113218647	gamma-aminobutyric acid type B receptor subunit 1
LOC113218999	uncharacterized LOC113218999
LOC552781	H/ACA ribonucleoprotein complex subunit 2-like protein
LOC100577369	HEAT repeat-containing protein 6, transcript variant X2
LOC409299	adenylosuccinate synthetase
LOC102654348	uncharacterized LOC102654348
LOC552317	ATP-dependent DNA helicase Q5, transcript variant X2
LOC410964	RWD domain-containing protein 4
LOC107964329	uncharacterized LOC107964329
LOC725573	uncharacterized LOC725573
LOC552183	phosphatidylinositol transfer protein alpha isoform
LOC412070	serine/threonine-protein kinase 16
LOC100577344	gametocyte-specific factor 1
LOC102656511	uncharacterized LOC102656511
GeneID_104796157	microRNA 3718c
LOC726950	pupal cuticle protein 20, transcript variant X1
LOC552181	EEF1A lysine methyltransferase 2
LOC724233	40S ribosomal protein S17
GeneID_107964919	tRNA-Ser
LOC413822	ubiquitin-conjugating enzyme E2 L3
LOC412384	BTB/POZ domain-containing protein 9, transcript variant X3
LOC113219028	pancreatic triacylglycerol lipase-like
LOC725742	vacuolar ATPase assembly integral membrane protein VMA21 homolog
LOC409781	uncharacterized LOC409781
LOC107964760	uncharacterized LOC107964760
LOC107964133	uncharacterized LOC107964133
LOC552377	diacylglycerol O-acyltransferase 1, transcript variant X2
LOC107965656	GATA zinc finger domain-containing protein 14-like
LOC100577028	insulin-like growth factor I, transcript variant X2
LOC100578020	uncharacterized LOC100578020
LOC411133	T-box transcription factor TBX20, transcript variant X2
LOC551781	pre-rRNA-processing protein TSR1 homolog
LOC552257	bromodomain-containing protein DDB_G0270170, transcript variant X1
LOC409624	acetyl-coenzyme A synthetase
LOC724809	WD repeat-containing protein 46, transcript variant X2
LOC408528	colorectal mutant cancer protein, transcript variant X2
LOC725409	7-methylguanosine phosphate-specific 5'-nucleotidase
LOC552831	AKT-interacting protein
LOC552740	S-methyl-5'-thioadenosine phosphorylase
LOC102654944	uncharacterized LOC102654944
LOC552744	ATP-binding cassette sub-family B member 10, mitochondrial
LOC552516	glucoside xylosyltransferase 1
LOC100577596	uncharacterized LOC100577596
LOC102656216	uncharacterized LOC102656216
GeneID_551971	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
LOC410337	venom dipeptidylpeptidase IV
LOC100578330	uncharacterized LOC100578330
GeneID_100629000	microRNA 3718a
LOC550966	RING-type E3 ubiquitin-protein ligase PPIL2
LOC100578421	uncharacterized LOC100578421, transcript variant X3
LOC408831	ribosome-releasing factor 2, mitochondrial
LOC113219315	uncharacterized LOC113219315
LOC107964202	uncharacterized LOC107964202
LOC412931	U3 small nucleolar RNA-associated protein 15 homolog
LOC410127	rho guanine nucleotide exchange factor 11, transcript variant X4
LOC102653708	uncharacterized LOC102653708
LOC107965318	uncharacterized LOC107965318
LOC113219362	uncharacterized LOC113219362
LOC411317	CG1567-like
LOC409331	YEATS domain-containing protein 2, transcript variant X3
LOC107965313	mpv17-like protein 2, transcript variant X1
LOC552697	zinc transporter foi, transcript variant X1
LOC412170	putative neutral sphingomyelinase, transcript variant X2
LOC113218756	U11 spliceosomal RNA
LOC409894	nuclear distribution protein nudE-like 1-A, transcript variant X1
GeneID_726848	hexamerin 70a
LOC102655435	odorant receptor 4-like
LOC412932	DDB1- and CUL4-associated factor 12, transcript variant X1
LOC726826	peptidyl-prolyl cis-trans isomerase cyp11, transcript variant X4
LOC726377	eclosion hormone, transcript variant X2
LOC113219222	uncharacterized LOC113219222
LOC410373	leucine-rich repeat-containing protein 15, transcript variant X2
GeneID_107965810	tRNA-Asn
LOC410784	putative GTP-binding protein 6
LOC113218646	uncharacterized LOC113218646
LOC550926	phosphomannomutase, transcript variant X2
LOC409869	kinesin 3A, transcript variant X8
LOC100577450	uncharacterized LOC100577450
LOC552533	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
LOC552144	major facilitator superfamily domain-containing protein 8, transcript variant X2
LOC100577127	proline-, glutamic acid- and leucine-rich protein 1
LOC726501	uroporphyrinogen decarboxylase
LOC107964422	uncharacterized LOC107964422, transcript variant X8
LOC413025	peroxidasin, transcript variant X1
LOC102654581	uncharacterized LOC102654581, transcript variant X2
LOC409390	cAMP-dependent protein kinase type II regulatory subunit, transcript variant X2
LOC409388	ras-related protein Rab-18-B, transcript variant X2
LOC113219307	uncharacterized LOC113219307
LOC409721	uncharacterized protein YER152C
LOC552674	shugoshin 2, transcript variant X1
LOC724710	transmembrane protein 59-like
GeneID_107964917	tRNA-Cys
LOC409401	cyclic AMP-responsive element-binding protein 1, transcript variant X3
LOC725587	serine/arginine repetitive matrix protein 5, transcript variant X2
LOC412923	argininosuccinate synthase, transcript variant X2
LOC102653764	waprin-Thr1
LOC725455	fructose-bisphosphate aldolase
LOC413906	monocarboxylate transporter 10, transcript variant X4
LOC552540	conserved oligomeric Golgi complex subunit 5
LOC102654690	uncharacterized LOC102654690
LOC411942	anaphase-promoting complex subunit 2
LOC725550	proteasome activator complex subunit 4A
LOC412467	bifunctional purine biosynthesis protein PURH
LOC102655302	uncharacterized LOC102655302
LOC100576282	odorant receptor Or2-like
LOC409168	26S proteasome non-ATPase regulatory subunit 13
LOC100576660	FAD synthase, transcript variant X1
LOC551918	chromatin assembly factor 1 subunit B
LOC413533	GTP-binding protein 10 homolog
LOC551839	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, transcript variant X2
LOC113219237	probable serine/threonine-protein kinase clkA
LOC551213	lymphocyte cytosolic protein 2, transcript variant X2
LOC100578660	eukaryotic translation initiation factor 2 subunit 2, transcript variant X2
LOC726294	orcokinin peptides
GeneID_406123	pipsqueak
LOC552290	serine/threonine-protein phosphatase 4 catalytic subunit, transcript variant X1
GeneID_411132	transglutaminase
LOC413166	myb-like protein D
LOC725619	uncharacterized LOC725619
LOC113219396	leucine-rich repeat serine/threonine-protein kinase 1
LOC552579	proteasome subunit beta type-3
LOC107964308	uncharacterized LOC107964308
LOC726494	hydroxymethylglutaryl-CoA lyase, mitochondrial
LOC725187	putative fatty acyl-CoA reductase CG8306-like
LOC100576476	uncharacterized LOC100576476
LOC409145	zinc transporter ZIP9, transcript variant X1
LOC107965225	ribulose-phosphate 3-epimerase
LOC100577748	uncharacterized LOC100577748, transcript variant X3
LOC102654878	odorant receptor 22c-like
LOC100576925	uncharacterized LOC100576925, transcript variant X5
LOC410922	wiskott-Aldrich syndrome protein family member 3, transcript variant X2
LOC413664	GPI transamidase component PIG-S, transcript variant X2
LOC107964043	uncharacterized LOC107964043
LOC552818	wolframin, transcript variant X1
LOC725576	protein GPR107, transcript variant X2
LOC411327	G1/S-specific cyclin-E1
LOC102656896	uncharacterized LOC102656896
GeneID_100628995	microRNA 2788
LOC100576964	uncharacterized LOC100576964
GeneID_107966077	tRNA-Lys
LOC725562	uncharacterized LOC725562
LOC113218844	uncharacterized LOC113218844
LOC107963968	inositol polyphosphate 1-phosphatase
LOC409492	slowpoke-binding protein, transcript variant X4
GeneID_100629065	microRNA 3762
LOC113219426	uncharacterized LOC113219426
LOC100578391	uncharacterized LOC100578391
LOC551028	cytochrome P450 6a14-like
LOC726378	anaphase-promoting complex subunit 11
LOC410876	THUMP domain-containing protein 3
LOC412349	ER membrane protein complex subunit 4
LOC725718	cofilin/actin-depolymerizing factor homolog
LOC725169	contactin
LOC552779	ubiquitin-conjugating enzyme E2 G2, transcript variant X2
LOC113219055	uncharacterized LOC113219055
LOC107964640	uncharacterized LOC107964640
GeneID_107964697	tRNA-Asn
LOC412059	F-box only protein 11
LOC100577943	scavenger receptor class B member 1
LOC408585	dynactin subunit 6
LOC102656552	hypertrehalosaemic prohormone, transcript variant X1
LOC409872	TRPL translocation defect protein 14, transcript variant X4
LOC411338	WD repeat-containing protein 35
LOC725258	very-long-chain 3-oxoacyl-CoA reductase, transcript variant X2
LOC727180	Fanconi anemia group D2 protein, transcript variant X1
GeneID_100629054	microRNA 980
LOC100576488	uncharacterized LOC100576488, transcript variant X3
LOC102656321	uncharacterized LOC102656321
LOC552192	uncharacterized LOC552192, transcript variant X1
LOC412734	CWF19-like protein 1
LOC552086	aldose 1-epimerase, transcript variant X2
LOC551606	exosome complex component RRP43
LOC413504	serine/threonine-protein kinase mig-15, transcript variant X9
LOC100576298	uncharacterized LOC100576298, transcript variant X2
LOC411359	protein tumorous imaginal discs, mitochondrial, transcript variant X2
LOC408538	uncharacterized LOC408538
LOC113218633	uncharacterized LOC113218633
LOC100577870	ras-related protein Rab-35
GeneID_100577979	odorant receptor 9
LOC100577764	ras-related protein Rab-5C, transcript variant X3
LOC102654930	uncharacterized LOC102654930, transcript variant X1
LOC724471	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like
LOC726307	serine-rich adhesin for platelets, transcript variant X3
LOC102653939	uncharacterized LOC102653939
LOC725136	aspartate--tRNA ligase, mitochondrial
GeneID_100629119	microRNA 3800
LOC724154	protein nessun dorma
LOC102656828	uncharacterized LOC102656828, transcript variant X2
GeneID_732510	microRNA 7
LOC102655220	uncharacterized LOC102655220
LOC409768	uncharacterized protein DDB_G0272420, transcript variant X5
GeneID_551367	apidermin 1
GeneID_409943	inositol 1,4,5-triphosphate kinase
LOC410122	glyceraldehyde-3-phosphate dehydrogenase 2
LOC724892	histidine-rich glycoprotein-like
LOC724390	uncharacterized LOC724390
LOC100577823	uncharacterized LOC100577823, transcript variant X1
LOC413060	DNA-binding protein D-ETS-4, transcript variant X1
LOC725943	ubiquitin-60S ribosomal protein L40, transcript variant X1
LOC102656197	swi5-dependent recombination DNA repair protein 1 homolog, transcript variant X1
LOC725850	cysteine-rich PDZ-binding protein, transcript variant X1
LOC412828	ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog
LOC100577168	uncharacterized LOC100577168, transcript variant X1
GeneID_406082	nicotinic acetylcholine receptor alpha8 subunit
LOC408762	uncharacterized protein MAL13P1.304
LOC551379	chitobiosyldiphosphodolichol beta-mannosyltransferase, transcript variant X3
LOC412051	palmitoyltransferase app, transcript variant X1
LOC725495	homeobox protein GBX-2
LOC102654652	uncharacterized LOC102654652, transcript variant X2
LOC552426	palmitoyltransferase ZDHHC7, transcript variant X5
GeneID_732507	microRNA 305
LOC726766	endoribonuclease Dicer, transcript variant X1
LOC107965828	cholesterol 7-desaturase
LOC725699	uncharacterized LOC725699, transcript variant X3
LOC102653642	uncharacterized LOC102653642, transcript variant X2
LOC102656805	uncharacterized LOC102656805, transcript variant X1
LOC412815	fatty acid synthase
GeneID_104796780	microRNA 6039
GeneID_100577031	odorant receptor 41
GeneID_406149	major royal jelly protein 6
LOC409690	uncharacterized LOC409690, transcript variant X1
LOC413205	tropomyosin-2-like, transcript variant X2
GeneID_107964365	tRNA-Phe
LOC102654349	DNA mismatch repair protein MutL-like
LOC725050	UPF0193 protein EVG1
LOC410849	protein sly1 homolog
LOC100578654	uncharacterized LOC100578654, transcript variant X3
GeneID_107964242	tRNA-Val
LOC412196	uncharacterized LOC412196
LOC726218	acetyl-CoA acetyltransferase, mitochondrial
GeneID_100315680	microRNA 92b-1
GeneID_100049571	AncR-1 non-coding nuclear RNA
GeneID_411303	nicotinic acetylcholine receptor alpha9 subunit
LOC408280	cell surface glycoprotein 1
LOC410202	radial spoke head protein 3 homolog, transcript variant X2
LOC413332	spectrin beta chain, non-erythrocytic 5, transcript variant X2
LOC102656496	uncharacterized LOC102656496, transcript variant X3
LOC725117	protein sprouty homolog 2, transcript variant X4
LOC410095	proteasome subunit alpha type-7-1
LOC100576104	INO80 complex subunit B, transcript variant X2
LOC100576789	leucine-rich repeat protein SHOC-2, transcript variant X1
LOC413244	RAB6A-GEF complex partner protein 2, transcript variant X1
LOC100577577	peritrophin-1
LOC725892	transforming growth factor-beta-induced protein ig-h3, transcript variant X4
LOC410256	protein lap1, transcript variant X2
LOC725607	cyclin-dependent kinase 2-associated protein 1
LOC102656835	uncharacterized LOC102656835
LOC102654107	uncharacterized LOC102654107
LOC409934	vesicle-associated membrane protein-associated protein B
LOC413831	sorting nexin lst-4
LOC725038	NPC intracellular cholesterol transporter 2 homolog a
LOC412510	uncharacterized LOC412510
LOC102655868	uncharacterized LOC102655868, transcript variant X3
LOC102655720	uncharacterized LOC102655720
LOC724555	uncharacterized LOC724555
LOC100577742	uncharacterized LOC100577742
LOC727004	putative glutathione-specific gamma-glutamylcyclotransferase 2
LOC725225	ninjurin-2
LOC113219012	hydrocephalus-inducing protein homolog
LOC551865	uncharacterized LOC551865, transcript variant X1
LOC727079	fibroblast growth factor receptor substrate 2
GeneID_100315688	microRNA 87-2
LOC725993	multidrug resistance-associated protein 7, transcript variant X1
LOC727121	uncharacterized LOC727121, transcript variant X1
LOC552548	DNA-dependent protein kinase catalytic subunit
LOC102655009	elongation of very long chain fatty acids protein AAEL008004
GeneID_408654	pyruvate dehydrogenase (lipoamide) beta
LOC412256	nucleosome-remodeling factor subunit NURF301, transcript variant X3
LOC100577073	pigment-dispersing hormone peptides
LOC726875	C2 domain-containing protein 5, transcript variant X2
LOC410562	serine/threonine-protein kinase meng-po, transcript variant X1
LOC113219229	uncharacterized LOC113219229
LOC409749	mediator of RNA polymerase II transcription subunit 31, transcript variant X1
LOC551589	beta-1,3-galactosyltransferase brn
LOC100577202	uncharacterized LOC100577202
LOC552563	transcription initiation factor TFIID subunit 7, transcript variant X1
LOC107965291	uncharacterized LOC107965291, transcript variant X1
LOC102653835	uncharacterized LOC102653835
LOC724656	RNA cytidine acetyltransferase
GeneID_551828	outspread
LOC107965316	uncharacterized LOC107965316
LOC411197	dynein light chain 1, axonemal
LOC107965534	protein Fer3-like, transcript variant X1
LOC726330	golgin subfamily A member 7, transcript variant X1
LOC107964015	uncharacterized LOC107964015, transcript variant X2
LOC113218706	5S ribosomal RNA
LOC102656753	uncharacterized LOC102656753, transcript variant X1
LOC107965243	uncharacterized LOC107965243
LOC412318	AN1-type zinc finger protein 2A, transcript variant X2
LOC102656729	uncharacterized LOC102656729, transcript variant X1
LOC551443	uncharacterized LOC551443, transcript variant X1
LOC725548	protein FAM151B, transcript variant X3
LOC551746	transcriptional activator cubitus interruptus, transcript variant X1
LOC100576831	protein lifeguard 2
LOC725303	histone H4 transcription factor, transcript variant X2
LOC102655945	myb/SANT-like DNA-binding domain-containing protein 3
LOC412796	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial, transcript variant X2
LOC102654715	uncharacterized LOC102654715
LOC551466	CAAX prenyl protease 1 homolog, transcript variant X2
LOC409633	ras-related and estrogen-regulated growth inhibitor
LOC107964982	uncharacterized LOC107964982
LOC100578165	uncharacterized LOC100578165, transcript variant X2
LOC107965218	uncharacterized LOC107965218, transcript variant X2
LOC113219239	putative glycine-rich cell wall structural protein 1
LOC414029	ABC transporter A family member 1
LOC413109	uncharacterized LOC413109, transcript variant X2
LOC100578548	uncharacterized LOC100578548
LOC727593	UDP-glucuronosyltransferase 2C1
LOC410683	sodium-coupled monocarboxylate transporter 2, transcript variant X2
LOC107963961	condensin complex subunit 2-like
LOC409268	uncharacterized LOC409268, transcript variant X3
GeneID_107964927	tRNA-Met
LOC413543	sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1, transcript variant X2
GeneID_107965139	tRNA-Asp
LOC725334	dynein regulatory complex subunit 2
LOC724432	ribosomal RNA processing protein 36 homolog
LOC100577848	uncharacterized LOC100577848
LOC412844	dual specificity protein phosphatase CDC14A
LOC726205	inosine triphosphate pyrophosphatase, transcript variant X2
LOC102655825	odorant receptor 85b-like
LOC102654975	zinc finger protein 628-like, transcript variant X1
LOC411472	dynamin-1-like protein
LOC102654440	uncharacterized LOC102654440
LOC100578920	zinc finger protein 251
LOC409927	putative pyridoxal-dependent decarboxylase domain-containing protein 2, transcript variant X1
LOC724628	protein mago nashi homolog
LOC724599	chromodomain-helicase-DNA-binding protein 1, transcript variant X2
LOC102655591	uncharacterized LOC102655591
LOC113219076	uncharacterized LOC113219076
LOC100576417	uncharacterized LOC100576417, transcript variant X1
LOC100578855	uncharacterized LOC100578855
GeneID_107964930	tRNA-Asp
LOC409891	cell division cycle and apoptosis regulator protein 1
NC_001566.1:6810..6878_df_g	tRNA-Phe
LOC113218982	uncharacterized LOC113218982
LOC113218768	uncharacterized LOC113218768
LOC724951	1-acyl-sn-glycerol-3-phosphate acyltransferase beta, transcript variant X1
LOC411540	small G protein signaling modulator 3 homolog
LOC411727	bromodomain-containing protein 8
LOC107963960	transcription elongation factor S-II, transcript variant X1
LOC412619	amidophosphoribosyltransferase, transcript variant X1
LOC409631	transient-receptor-potential-like protein, transcript variant X2
LOC552327	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
LOC409427	peptidyl-prolyl cis-trans isomerase E, transcript variant X3
LOC409207	synaptic vesicle membrane protein VAT-1 homolog-like, transcript variant X1
LOC410129	casein kinase I
LOC726664	alpha-tubulin N-acetyltransferase, transcript variant X2
LOC412883	Allatostatin C receptor, transcript variant X2
LOC107964011	uncharacterized LOC107964011
LOC100578360	dnaJ homolog subfamily C member 21, transcript variant X2
LOC724931	C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8, transcript variant X1
LOC552641	39S ribosomal protein L2, mitochondrial
LOC412363	cilia- and flagella-associated protein 20
LOC409499	UDP-glucose 4-epimerase, transcript variant X1
LOC552134	riboflavin kinase
LOC551034	ADP-ribosylation factor-like protein 5B
LOC413484	uncharacterized LOC413484
LOC100576609	uncharacterized LOC100576609, transcript variant X1
LOC102655179	uncharacterized LOC102655179
LOC724831	uncharacterized LOC724831, transcript variant X1
LOC552776	signal recognition particle subunit SRP68
LOC411269	solute carrier family 35 member E1 homolog
LOC409909	small glutamine-rich tetratricopeptide repeat-containing protein alpha, transcript variant X1
GeneID_104794350	microRNA 6058
LOC100578239	cilia- and flagella-associated protein 70, transcript variant X2
LOC102656332	uncharacterized LOC102656332
LOC412708	calcyclin-binding protein
LOC413350	lachesin, transcript variant X5
LOC113218739	uncharacterized LOC113218739
LOC413144	actin related protein 11, transcript variant X1
LOC102654889	zinc finger protein 37
LOC724760	G-protein coupled receptor Mth2, transcript variant X2
LOC113218610	uncharacterized LOC113218610
LOC410246	netrin receptor UNC5B
LOC102655922	uncharacterized LOC102655922
LOC551146	glycine-rich protein DOT1, transcript variant X3
LOC726852	cytochrome b5 domain-containing protein 1
GeneID_406099	ribosomal protein L32
LOC552742	integrin alpha-PS1, transcript variant X2
LOC100577931	TELO2-interacting protein 2, transcript variant X1
LOC113218820	uncharacterized LOC113218820
LOC100576299	uncharacterized LOC100576299, transcript variant X3
LOC113218963	uncharacterized LOC113218963
LOC726941	ATP-binding cassette sub-family A member 2, transcript variant X1
LOC113218840	succinate dehydrogenase assembly factor 2, mitochondrial-like
LOC726564	uncharacterized LOC726564, transcript variant X1
LOC409841	nuclear protein localization protein 4 homolog, transcript variant X3
LOC725159	probable cytochrome P450 6a14
LOC726803	uncharacterized LOC726803, transcript variant X1
LOC551902	metaxin-1, transcript variant X2
LOC551163	LMBR1 domain-containing protein 2 homolog
LOC410864	nuclear pore complex protein Nup50, transcript variant X2
LOC552636	dipeptidase 1, transcript variant X1
LOC100578957	uncharacterized LOC100578957, transcript variant X1
LOC412465	tetraspanin-7, transcript variant X2
GeneID_104797383	microRNA 9872
LOC410054	ubiquilin-1, transcript variant X2
LOC408568	peptidyl-alpha-hydroxyglycine alpha-amidating lyase 1, transcript variant X1
LOC410616	xaa-Pro aminopeptidase ApepP, transcript variant X1
LOC102656021	DDB1- and CUL4-associated factor 5, transcript variant X3
LOC724541	peroxidase
LOC411469	integrator complex subunit 1, transcript variant X1
LOC409395	MATH and LRR domain-containing protein PFE0570w
LOC551200	coiled-coil domain-containing protein 12
LOC100576745	leucine-rich repeat-containing protein 26
LOC413334	mitogen-activated protein kinase kinase kinase kinase 5, transcript variant X4
LOC409064	sugar transporter SWEET1
LOC552722	glyoxalase domain-containing protein 4
LOC727399	protein numb, transcript variant X6
LOC726541	protein phosphatase 1 regulatory subunit 12A, transcript variant X11
LOC413605	cytochrome c1, heme protein, mitochondrial, transcript variant X1
LOC552520	AP-3 complex subunit mu-1, transcript variant X2
LOC113219008	uncharacterized LOC113219008
LOC413130	RNA polymerase-associated protein CTR9 homolog
LOC552841	intraflagellar transport protein 57 homolog, transcript variant X2
LOC100577455	golgin subfamily A member 6-like protein 22
LOC411706	phospholipase B1, membrane-associated, transcript variant X3
LOC412880	myotubularin-related protein 9, transcript variant X1
LOC410968	ribonuclease 3
LOC725701	sialin-like, transcript variant X2
LOC100578927	transcriptional repressor protein YY1, transcript variant X1
LOC113218819	uncharacterized LOC113218819
GeneID_406130	melittin
LOC409693	inositol monophosphatase 1
LOC107966044	uncharacterized LOC107966044
LOC412829	arylsulfatase B, transcript variant X2
LOC100577149	15-hydroxyprostaglandin dehydrogenase [NAD(+)]
LOC113218977	uncharacterized LOC113218977
LOC102656830	uncharacterized LOC102656830
LOC410663	selenoprotein F, transcript variant X1
LOC412635	fukutin-related protein
LOC411173	torso-like protein, transcript variant X3
LOC102656669	ctenidin-1-like, transcript variant X2
LOC725238	histone H1
LOC408681	solute carrier family 35 member F2, transcript variant X2
LOC102655112	probable G-protein coupled receptor Mth-like 5
LOC726411	immunoglobulin domain-containing protein oig-4
GeneID_408689	fatty acid binding protein
LOC409706	short coiled-coil protein B
LOC411199	sodium-dependent neutral amino acid transporter B(0)AT3
GeneID_107964384	tRNA-Gly
LOC102654909	uncharacterized LOC102654909
LOC552244	probable pathogenesis-related protein CaO19.6200, transcript variant X1
LOC552274	protein FAM122A
LOC413260	neuroligin-4, Y-linked, transcript variant X3
LOC726755	pyrokinin-like receptor 2
LOC107966113	uncharacterized LOC107966113
LOC408438	insulin receptor substrate 1-B, transcript variant X3
LOC107965350	uncharacterized LOC107965350
LOC724322	serum response factor homolog, transcript variant X1
LOC100576848	uncharacterized LOC100576848
GeneID_552378	membrane-associated ring finger (C3HC4) 6
LOC100576155	uncharacterized LOC100576155, transcript variant X2
LOC408871	sorbitol dehydrogenase
LOC413679	cuticular protein analogous to peritrophins 3-E
LOC100576236	uncharacterized LOC100576236, transcript variant X2
LOC107964020	alpha-tocopherol transfer protein, transcript variant X4
GeneID_408613	synaptotagmin 1
LOC411577	protein argonaute-2
LOC100577143	uncharacterized LOC100577143
LOC102655724	uncharacterized LOC102655724, transcript variant X1
LOC411638	transport and Golgi organization protein 6 homolog, transcript variant X1
LOC100578300	uncharacterized LOC100578300, transcript variant X2
LOC102655130	leukocyte surface antigen CD53-like, transcript variant X2
LOC726778	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16
LOC409709	putative glucosylceramidase 4
LOC408299	purine nucleoside phosphorylase, transcript variant X1
LOC552599	DNA-directed RNA polymerase II subunit RPB7, transcript variant X1
LOC107964046	uncharacterized LOC107964046
LOC410467	uncharacterized LOC410467
LOC724192	titin
LOC100576266	uncharacterized LOC100576266, transcript variant X2
LOC411837	putative deoxyribonuclease TATDN1, transcript variant X1
LOC409442	protein NipSnap
LOC726789	40S ribosomal protein S26
LOC100577542	uncharacterized LOC100577542, transcript variant X2
LOC107964507	acyl-coenzyme A thioesterase 13
LOC552148	thymidylate kinase, transcript variant X1
LOC726817	pancreatic triacylglycerol lipase, transcript variant X1
LOC410980	polyphosphoinositide phosphatase, transcript variant X4
LOC551173	eukaryotic translation initiation factor 4E type 2
LOC107966050	uncharacterized LOC107966050, transcript variant X1
LOC100578400	uncharacterized LOC100578400
LOC411159	uncharacterized LOC411159
LOC107965192	coatomer subunit epsilon
LOC412386	pleckstrin homology domain-containing family M member 1
LOC411729	sodium- and chloride-dependent GABA transporter ine, transcript variant X2
LOC113218760	probable galactose-1-phosphate uridylyltransferase
LOC411450	probable ATP-dependent RNA helicase DDX43
LOC100576172	uncharacterized LOC100576172, transcript variant X3
GeneID_406113	excitatory amino acid transporter 2
LOC550968	heat shock protein 75 kDa, mitochondrial
LOC726725	pro-resilin, transcript variant X1
LOC102654800	histone-lysine N-methyltransferase SETMAR-like
LOC102654017	uncharacterized LOC102654017
LOC100577675	trifunctional purine biosynthetic protein adenosine-3, transcript variant X1
LOC409495	lysosome-associated membrane glycoprotein 1
LOC550814	MRG/MORF4L-binding protein
LOC102654355	uncharacterized LOC102654355, transcript variant X2
LOC412838	alpha-mannosidase 2, transcript variant X4
LOC100577537	uncharacterized LOC100577537, transcript variant X2
LOC552662	non-canonical poly(A) RNA polymerase PAPD5-like
LOC408939	charged multivesicular body protein 5
LOC409422	uncharacterized LOC409422, transcript variant X23
LOC552846	dnaJ homolog subfamily C member 17
LOC411730	mannosyl-oligosaccharide glucosidase GCS1
LOC100576098	F-box protein SKIP22
LOC410684	orthodenticle 1, transcript variant X1
LOC100578440	uncharacterized LOC100578440
LOC552245	N-acetyltransferase ESCO1
LOC102653640	glutamate receptor 1, transcript variant X3
LOC725952	uncharacterized LOC725952, transcript variant X1
LOC100577520	uncharacterized protein C19orf47 homolog
LOC410566	putative inorganic phosphate cotransporter, transcript variant X1
LOC551705	hyccin, transcript variant X3
